"country","code","year","value","population","GdpPerCapita"
"India","IND",1960,36535925029.925,449480608,81.2847637465263
"India","IND",1961,38709096075.0961,458494963,84.4264369270641
"India","IND",1962,41599070245.0702,467852537,88.9149186019487
"India","IND",1963,47776000903.0009,477527970,100.048591714954
"India","IND",1964,55726873075.8731,487484535,114.315160943256
"India","IND",1965,58760424674.5065,497702365,118.063382468569
"India","IND",1966,45253641300,508161935,89.0535834802345
"India","IND",1967,49466168893.3333,518889779,95.3307829432757
"India","IND",1968,52377324280,529967317,98.8312346815908
"India","IND",1969,57668330026.6667,541505076,106.496379410978
"India","IND",1970,61589800520,553578513,111.257570649242
"India","IND",1971,66452561868.4154,566224812,117.360738102758
"India","IND",1972,70509913046.8528,579411513,121.692288580487
"India","IND",1973,84374541625.3338,593058926,142.270081312854
"India","IND",1974,98198276856.9136,607050255,161.763010637255
"India","IND",1975,97159222028.3357,621301720,156.380095050012
"India","IND",1976,101346972433.237,635771734,159.407798449305
"India","IND",1977,119866746569.343,650485030,184.272874918187
"India","IND",1978,135468782810.558,665502284,203.558704556689
"India","IND",1979,150950826964.984,680915804,221.687947435251
"India","IND",1980,183839864648.794,696783517,263.840719769486
"India","IND",1981,190909548793.872,713118032,267.711010277569
"India","IND",1982,198037712680.328,729868013,271.333596147511
"India","IND",1983,215350771423.861,746949067,288.307169709419
"India","IND",1984,209328156804.186,764245202,273.901826607982
"India","IND",1985,229410293755.209,781666671,293.48864710033
"India","IND",1986,245664654064.834,799181436,307.395346036083
"India","IND",1987,275311425330.609,816792741,337.063996177959
"India","IND",1988,292632656261.441,834489322,350.672739059255
"India","IND",1989,292093308316.929,852270034,342.723898135939
"India","IND",1990,316697337894.532,870133480,363.96408731972
"India","IND",1991,266502281092.721,888054875,300.096636587599
"India","IND",1992,284363884079.92,906021106,313.860110097612
"India","IND",1993,275570363432.31,924057817,298.217663832944
"India","IND",1994,322909902308.131,942204249,342.717518681165
"India","IND",1995,355475984176.175,960482795,370.101355304522
"India","IND",1996,387656017799.599,978893217,396.014612285948
"India","IND",1997,410320300471.227,997405318,411.38772078537
"India","IND",1998,415730874172.06,1015974042,409.194385866071
"India","IND",1999,452699998386.955,1034539214,437.586117820136
"India","IND",2000,462146799336.77,1053050912,438.864630447013
"India","IND",2001,478965491061.694,1071477855,447.013896579033
"India","IND",2002,508068952065.959,1089807112,466.200804226316
"India","IND",2003,599592902016.212,1108027848,541.13522787219
"India","IND",2004,699688852930.441,1126135777,621.318376718655
"India","IND",2005,808901077222.092,1144118674,707.008019014374
"India","IND",2006,920316529729.61,1161977719,792.025969759245
"India","IND",2007,1201111768409.39,1179681239,1018.16637300052
"India","IND",2008,1186952757635.85,1197146906,991.484630404959
"India","IND",2009,1323940295874.9,1214270132,1090.31776454409
"India","IND",2010,1656617073124.21,1230980691,1345.77015320885
"India","IND",2011,1823049927771.46,1247236029,1461.67195733845
"India","IND",2012,1827637859135.7,1263065852,1446.98540954276
"India","IND",2013,1856722121394.53,1278562207,1452.19537323187
"India","IND",2014,2035393459979.46,1293859294,1573.11808897472
"India","IND",2015,2089865410867.82,1309053980,1596.47000261045
"India","IND",2016,2263792499341.01,1324171354,1709.59180811656
